tienda_id,empleados,publicidad,ubicacion,ventas
39,24.0,8760.0,2,43429.0
29,25.0,5329.0,0,45480.0
15,12.0,3319.0,0,35646.0
39,27.0,2793.0,1,58215.0
19,20.0,4122.0,1,42651.0
23,5.0,4420.0,1,43505.0
11,23.0,3653.0,1,68157.0
11,9.0,4092.0,0,32417.0
24,26.0,6833.0,1,83622.0
36,27.0,5513.0,1,65010.0
40,29.0,3968.0,2,57986.0
24,16.0,4144.0,0,21339.0
2,22.0,4859.0,1,47720.0
24,8.0,6760.0,0,29963.0
30,20.0,5452.0,2,44362.0
38,19.0,7853.0,0,40436.0
2,14.0,8753.0,2,25128.0
12,18.0,4301.0,2,44358.0
22,2.0,6566.0,0,10138.0
44,11.0,5751.0,1,47782.0
49,8.0,4215.0,1,46666.0
27,1.0,1086.0,0,14579.0
28,22.0,6129.0,0,45482.0
16,12.0,7123.0,0,25445.0
47,18.0,7821.0,2,35007.0
44,7.0,5929.0,1,37985.0
3,26.0,4859.0,0,61967.0
37,17.0,3746.0,2,28242.0
7,22.0,8182.0,0,61672.0
9,14.0,5981.0,0,27405.0
39,24.0,3537.0,1,79312.0
18,7.0,8228.0,0,15656.0
4,22.0,5060.0,2,54560.0
25,25.0,5598.0,1,61718.0
14,29.0,5146.0,1,66908.0
50,3.0,3468.0,2,21627.0
26,6.0,6393.0,0,37451.0
2,20.0,4116.0,0,40822.0
20,2.0,5468.0,2,13804.0
28,17.0,5116.0,0,37090.0
47,12.0,6830.0,2,17345.0
7,12.0,4402.0,1,43227.0
44,17.0,5453.0,0,38213.0
8,27.0,5874.0,2,31485.0
47,10.0,4356.0,0,39578.0
17,18.0,5818.0,0,44978.0
36,13.0,4529.0,1,37882.0
50,12.0,4502.0,2,28616.0
40,27.0,6208.0,0,69338.0
4,27.0,7038.0,0,60117.0
2,27.0,7383.0,1,61535.0
6,17.0,3774.0,2,23209.0
42,4.0,6845.0,0,14332.0
4,23.0,9169.0,0,59955.0
29,10.0,5252.0,1,38635.0
18,11.0,4853.0,1,45979.0
26,6.0,4436.0,2,14752.0
44,6.0,2872.0,2,6963.0
10,9.0,4862.0,2,14300.0
36,15.0,4700.0,1,42180.0
14,2.0,6374.0,0,5860.0
31,4.0,6558.0,1,21894.0
48,5.0,3798.0,1,39495.0
8,8.0,3757.0,0,35920.0
14,8.0,9227.0,2,35330.0
23,22.0,7954.0,2,40822.0
40,12.0,6414.0,2,34785.0
45,19.0,5726.0,2,40018.0
18,3.0,9418.0,0,20758.0
47,18.0,5577.0,0,22748.0
24,21.0,6017.0,0,49570.0
26,19.0,-97.0,0,31276.0
25,19.0,5515.0,1,63424.0
45,15.0,2212.0,2,21646.0
41,6.0,4026.0,0,25511.0
29,16.0,5093.0,1,49196.0
15,8.0,4395.0,1,18286.0
45,16.0,3728.0,1,43778.0
1,18.0,3745.0,2,38568.0
7,16.0,4490.0,2,32777.0
9,11.0,5040.0,2,34592.0
44,17.0,900.0,1,52375.0
8,12.0,5489.0,1,39645.0
24,13.0,5142.0,1,33722.0
11,10.0,4731.0,0,44482.0
17,7.0,3588.0,0,31053.0
8,14.0,4700.0,2,29075.0
35,23.0,1732.0,2,47057.0
35,1.0,5413.0,2,14804.0
33,17.0,5776.0,2,26579.0
5,4.0,3591.0,2,10494.0
42,21.0,8881.0,0,61869.0
39,5.0,4759.0,2,16254.0
41,20.0,5088.0,1,57822.0
28,24.0,7671.0,2,59732.0
7,23.0,9284.0,1,61844.0
9,25.0,2753.0,1,50388.0
12,10.0,4794.0,1,33251.0
34,17.0,3514.0,2,19395.0
33,29.0,6692.0,2,61884.0
48,7.0,3294.0,2,15571.0
24,7.0,6247.0,2,23032.0
37,26.0,7328.0,0,57520.0
35,24.0,3302.0,1,78149.0
44,11.0,4233.0,1,39844.0
40,9.0,6795.0,0,39612.0
22,12.0,6433.0,0,39612.0
